test_name,P,N,tp,tn,fp,fn,total_tokens,input_tokens,output_tokens,model_name
s1_IP,4598,90490,4565,90273,217,33,0,0,0,None
s1_domain,4598,90490,4588,90490,0,10,0,0,0,None
s1_file,4598,90490,4598,90273,217,0,0,0,0,None
s2_IP,15073,382953,15073,382950,3,0,0,0,0,None
s2_domain,15073,382953,15073,382950,3,0,0,0,0,None
s2_file,15073,382953,15073,382950,3,0,0,0,0,None
s3_IP,5165,123164,5018,123163,1,147,0,0,0,None
s3_domain,5165,123164,5018,123163,1,147,0,0,0,None
s3_file,5165,123164,5018,123163,1,147,0,0,0,None
s4_IP,18062,107551,17850,107524,27,212,0,0,0,None
s4_domain,18062,107551,18062,107507,44,0,0,0,0,None
s4_file,18062,107551,17850,107524,27,212,0,0,0,None
